Workout date, 2022-04-19 13:42:14 
Duration, 69
Calories burned, 0
Mean heart rate,  88.67
Maximum heart rate, 97
Notes, Walking

Time (seconds), Rate (beats per minute)
     1.0, 84
     2.0, 83
     3.0, 82
     4.0, 81
     5.0, 80
     6.1, 78
     7.0, 77
     8.0, 77
     9.0, 77
    10.0, 78
    11.0, 78
    12.0, 79
    13.0, 80
    14.0, 80
    15.0, 82
    16.1, 83
    17.0, 85
    18.0, 85
    19.0, 86
    20.0, 86
    21.2, 87
    22.2, 87
    23.2, 89
    24.2, 90
    25.2, 92
    27.2, 91
    27.2, 91
    28.2, 90
    29.2, 89
    30.2, 88
    31.2, 88
    32.2, 88
    33.2, 88
    34.2, 89
    35.2, 91
    36.2, 91
    37.2, 91
    38.2, 91
    39.2, 91
    40.2, 91
    41.2, 90
    43.2, 89
    43.2, 89
    44.7, 89
    45.2, 89
    46.2, 90
    47.2, 91
    48.2, 92
    49.2, 92
    50.2, 93
    51.2, 94
    52.2, 96
    53.2, 97
    54.2, 97
    55.2, 96
    56.2, 95
    57.2, 94
    58.2, 93
    60.2, 92
    60.2, 92
    61.2, 92
    62.2, 92
    63.2, 92
    64.2, 93
    65.2, 94
    66.2, 97
    67.2, 97
    68.2, 97
    69.2, 96
