Workout date, 2022-04-19 13:45:16 
Duration, 70
Calories burned, 0
Mean heart rate,  89.40
Maximum heart rate, 93
Notes, Walking

Time (seconds), Rate (beats per minute)
     1.0, 88
     2.0, 88
     3.0, 88
     4.0, 87
     5.0, 85
     6.0, 86
     7.0, 87
     8.0, 87
     9.0, 88
    10.0, 88
    11.0, 88
    12.0, 88
    13.0, 87
    14.0, 87
    15.0, 87
    16.0, 87
    17.0, 88
    18.0, 90
    19.0, 91
    20.2, 92
    21.2, 92
    22.2, 91
    23.7, 90
    24.2, 90
    25.2, 91
    26.2, 91
    27.2, 92
    28.2, 92
    29.2, 92
    30.2, 93
    31.2, 93
    32.2, 92
    33.2, 90
    34.2, 89
    35.2, 89
    36.2, 89
    37.2, 90
    38.2, 91
    39.2, 91
    40.2, 92
    41.2, 92
    43.2, 91
    43.2, 90
    44.2, 90
    45.2, 90
    46.2, 90
    47.2, 90
    48.2, 90
    49.2, 91
    50.2, 91
    51.2, 91
    52.2, 89
    53.2, 88
    54.2, 87
    55.2, 86
    56.2, 86
    57.2, 86
    58.2, 87
    59.2, 87
    60.2, 88
    61.2, 89
    62.2, 91
    63.7, 91
    64.2, 91
    65.2, 90
    66.2, 88
    67.2, 88
    68.2, 89
    69.2, 90
    70.2, 91
