Workout date, 2022-04-19 13:46:45 
Duration, 68
Calories burned, 0
Mean heart rate,  91.90
Maximum heart rate, 97
Notes, Walking

Time (seconds), Rate (beats per minute)
     1.0, 95
     2.0, 94
     3.0, 92
     4.0, 90
     5.0, 89
     6.0, 89
     7.0, 90
     8.0, 91
     9.0, 91
    10.0, 92
    11.0, 92
    12.0, 93
    13.0, 94
    14.0, 94
    15.0, 95
    16.0, 95
    17.0, 95
    18.0, 95
    19.0, 95
    20.0, 96
    21.0, 96
    22.2, 96
    23.2, 96
    24.2, 96
    25.2, 97
    26.2, 97
    27.2, 96
    28.2, 96
    29.2, 96
    30.2, 97
    31.2, 97
    32.2, 95
    33.2, 93
    34.2, 92
    35.2, 93
    37.2, 93
    37.2, 93
    38.8, 93
    39.2, 92
    40.7, 92
    41.2, 92
    42.2, 91
    43.2, 91
    44.2, 90
    45.2, 89
    46.2, 89
    47.2, 88
    48.2, 88
    49.2, 88
    50.2, 88
    51.2, 88
    53.2, 88
    53.2, 88
    54.2, 88
    55.2, 87
    56.2, 87
    57.2, 86
    58.2, 86
    59.2, 87
    60.2, 88
    61.2, 90
    62.2, 92
    63.2, 92
    64.7, 92
    65.2, 92
    66.2, 91
    67.2, 91
    68.2, 91
